model,recall@10,precision@10,ndcg@10,map@10,coverage@10,p50_latency_ms,p95_latency_ms,p99_latency_ms,novelty@10,diversity@10,serendipity@10
popularity,0.007232142857142874,0.004880000000000013,0.007248770286142424,0.003147988977072309,0.00018503401360544218,0.0,0.0,2.0101094245910645,10.14229179503995,0.5142739363911736,0.0316
item_item_raw,0.0077971451115415044,0.005293737895416408,0.0074262836730080274,0.003039990418534689,0.13263673469387754,1.5071630477905273,11.301064491271973,19.1550874710083,13.619402893040105,0.37281319606395524,0.02571551538627071
item_item_decay,0.005277683844501144,0.0035506778566817233,0.005248523408369677,0.002340073513564859,0.19063945578231292,1.4399290084838867,11.482381820678711,19.21125411987305,16.822161809075055,0.44764321952258956,0.014095115128039595
als,0.009440555555555579,0.0066600000000000305,0.009095037923155308,0.00381367397329302,0.01799183673469388,0.0,10.022485256195072,14.179503917694092,12.861284996084501,0.3307442112848515,0.0284
bpr,0.0025557142857142853,0.001279999999999999,0.0019760841640886683,0.0009131964285714283,0.2532462585034014,1.039743423461914,7.874548435211186,12.156851291656501,16.280551430390606,0.4136461083832307,0.0047
content,0.0008739210482270523,0.000494942973961696,0.0006497981191805908,0.00024684811159956415,0.08564897959183673,237.3875379562378,362.641704082489,384.97094631195137,18.64376133092455,0.13283052821676897,0.0006455777921239509
hybrid,0.008477301587301606,0.005920000000000023,0.008531730289956317,0.003672036596119929,0.041447619047619046,189.25726413726807,237.68107891082764,265.95564365386963,13.68090622087775,0.332879448784594,0.0255
hybrid_mmr,0.009548095238095265,0.006680000000000034,0.009266619854235944,0.003851606261022929,0.03156462585034014,382.29620456695557,457.9599738121033,718.939216136937,12.770199055014187,0.3626199220446327,0.0294
